ZIP_REG,TOTAL_VISITS,AVRG_SPENT_PER_VISIT,HAS_CREDIT_CARD,FAV_TYPE,SPEND_LAST_MONTH,SPEND_LAST_3MONTH,SPEND_LAST_6MONTH,SPENT_LAST_YEAR,PROMOS_ON_FILE,DAYS_ON_FILE,FREQ_DAYS,PRODUCT_CLASSES,COUPONS,STYLES,STORES,WEB,RESPONDED,RESPONSERATE,LTFREDAY,CLUSTYPE,RESP
1,10,200,0,3,0,0,0,0,20,750,450,10,5,50,4,0,2,20,120,10,0
1,10,200,1,14,1,1,1,0,15,750,300,10,5,50,4,0,4,60,80,10,1
1,10,200,0,1,0,0,0,1,15,450,300,5,5,50,4,0,2,20,80,16,0
1,10,200,1,4,1,0,1,1,25,750,150,20,5,50,4,0,8,80,40,10,0
1,10,200,0,6,1,0,1,0,5,150,150,5,5,50,4,0,2,20,40,20,0
1,10,200,0,1,1,1,1,0,5,150,150,5,5,50,4,0,2,20,80,3,0
1,10,800,1,4,0,0,1,0,20,150,150,5,5,50,4,0,2,20,40,10,0
1,10,200,0,6,0,0,0,0,10,450,450,5,5,50,4,0,2,40,160,10,0
1,10,400,0,14,0,0,0,0,15,300,300,10,5,50,4,0,2,20,280,23,0
1,20,200,1,5,1,1,1,1,30,750,150,25,5,100,4,0,8,80,40,23,1
1,10,200,1,4,0,0,1,0,30,750,150,15,5,50,4,1,4,40,40,23,1
1,10,200,0,3,0,0,1,0,5,150,150,5,5,50,4,0,2,20,80,16,0
1,10,200,0,10,1,0,1,0,20,450,150,10,5,50,4,0,4,40,80,31,0
1,10,200,0,11,0,0,0,0,5,300,300,5,5,50,4,0,2,20,160,16,0
1,10,200,1,3,1,0,1,0,20,450,150,10,5,50,4,0,2,40,40,16,0
1,10,200,0,1,1,1,1,0,10,300,150,5,5,50,4,0,2,20,80,10,0
1,10,200,1,7,1,0,1,0,20,750,450,10,5,50,4,0,2,20,80,6,0
1,10,600,0,9,0,0,1,0,20,600,600,5,5,50,4,0,2,20,240,4,0
1,10,200,0,1,0,0,0,0,10,300,300,5,5,50,4,0,2,20,280,1,0
1,10,200,1,3,0,0,0,0,20,450,450,5,5,50,4,0,2,20,200,4,0
1,10,200,1,5,0,0,1,1,30,600,150,15,5,50,8,0,4,40,40,6,0
